id,role,level,type,question_text,options_json,correct_answer_index,topic
13,Software Engineer,Intern,mcq,What is a key characteristic of algorithm complexity?,"[{""index"": 0, ""text"": ""An outdated approach to algorithm complexity that ignores current best practices.""}, {""index"": 1, ""text"": ""A superficial application of algorithm complexity that overlooks important edge cases.""}, {""index"": 2, ""text"": ""Applying the principles of message queues in a situation that calls for algorithm complexity instead.""}, {""index"": 3, ""text"": ""Addressing the core purpose of algorithm complexity while accounting for known edge cases.""}]",3,algorithm complexity
14,Software Engineer,Intern,mcq,What is the main benefit of using code review practices in a Software Engineer context?,"[{""index"": 0, ""text"": ""Addressing the core purpose of code review practices while accounting for known edge cases.""}, {""index"": 1, ""text"": ""An outdated approach to code review practices that ignores current best practices.""}, {""index"": 2, ""text"": ""A superficial application of code review practices that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Confusing code review practices with design patterns, which actually serves a different purpose.""}]",0,code review practices
15,Software Engineer,Intern,mcq,Which factor most influences the effectiveness of logging and monitoring in practice?,"[{""index"": 0, ""text"": ""Correctly applying logging and monitoring according to established best practices for a Software Engineer.""}, {""index"": 1, ""text"": ""Focusing on caching strategies while overlooking the actual requirements of logging and monitoring.""}, {""index"": 2, ""text"": ""Confusing logging and monitoring with microservices vs monoliths, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""A superficial application of logging and monitoring that overlooks important edge cases.""}]",0,logging and monitoring
16,Software Engineer,Intern,mcq,Which of the following is NOT typically associated with refactoring?,"[{""index"": 0, ""text"": ""A structured approach that directly satisfies the intent behind refactoring.""}, {""index"": 1, ""text"": ""An outdated approach to refactoring that ignores current best practices.""}, {""index"": 2, ""text"": ""Treating refactoring as equivalent to database indexing \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""Focusing on concurrency while overlooking the actual requirements of refactoring.""}]",0,refactoring
17,Software Engineer,Intern,mcq,What is the main benefit of using logging and monitoring in a Software Engineer context?,"[{""index"": 0, ""text"": ""Confusing logging and monitoring with memory management, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""An accurate, practical description of how logging and monitoring functions in real Software Engineer work.""}, {""index"": 2, ""text"": ""Applying the principles of microservices vs monoliths in a situation that calls for logging and monitoring instead.""}, {""index"": 3, ""text"": ""An outdated approach to logging and monitoring that ignores current best practices.""}]",1,logging and monitoring
18,Software Engineer,Intern,mcq,Which of the following is NOT typically associated with algorithm complexity?,"[{""index"": 0, ""text"": ""Focusing on technical debt while overlooking the actual requirements of algorithm complexity.""}, {""index"": 1, ""text"": ""A structured approach that directly satisfies the intent behind algorithm complexity.""}, {""index"": 2, ""text"": ""A superficial application of algorithm complexity that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Applying the principles of microservices vs monoliths in a situation that calls for algorithm complexity instead.""}]",1,algorithm complexity
19,Software Engineer,Intern,mcq,What distinguishes a correct implementation of code documentation from a flawed one?,"[{""index"": 0, ""text"": ""A structured approach that directly satisfies the intent behind code documentation.""}, {""index"": 1, ""text"": ""Treating code documentation as equivalent to load balancing \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""Confusing code documentation with database indexing, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""A superficial application of code documentation that overlooks important edge cases.""}]",0,code documentation
20,Software Engineer,Intern,mcq,"When applying algorithm complexity, which of the following is a best practice?","[{""index"": 0, ""text"": ""Treating algorithm complexity as equivalent to data structures \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Focusing on load balancing while overlooking the actual requirements of algorithm complexity.""}, {""index"": 2, ""text"": ""Correctly applying algorithm complexity according to established best practices for a Software Engineer.""}, {""index"": 3, ""text"": ""A superficial application of algorithm complexity that overlooks important edge cases.""}]",2,algorithm complexity
21,Software Engineer,Intern,mcq,Which option correctly explains a common pitfall related to REST API design?,"[{""index"": 0, ""text"": ""Prioritizing algorithm complexity at the expense of properly addressing REST API design.""}, {""index"": 1, ""text"": ""Correctly applying REST API design according to established best practices for a Software Engineer.""}, {""index"": 2, ""text"": ""Confusing REST API design with continuous integration, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""Applying the principles of microservices vs monoliths in a situation that calls for REST API design instead.""}]",1,REST API design
22,Software Engineer,Intern,mcq,Which of the following is NOT typically associated with continuous integration?,"[{""index"": 0, ""text"": ""A superficial application of continuous integration that overlooks important edge cases.""}, {""index"": 1, ""text"": ""Confusing continuous integration with data structures, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Treating continuous integration as equivalent to refactoring \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""A structured approach that directly satisfies the intent behind continuous integration.""}]",3,continuous integration
23,Software Engineer,Intern,mcq,What distinguishes a correct implementation of refactoring from a flawed one?,"[{""index"": 0, ""text"": ""Confusing refactoring with database indexing, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""An outdated approach to refactoring that ignores current best practices.""}, {""index"": 2, ""text"": ""An accurate, practical description of how refactoring functions in real Software Engineer work.""}, {""index"": 3, ""text"": ""Applying the principles of code documentation in a situation that calls for refactoring instead.""}]",2,refactoring
24,Software Engineer,Intern,mcq,A Software Engineer needs to make a decision involving exception handling. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""An accurate, practical description of how exception handling functions in real Software Engineer work.""}, {""index"": 1, ""text"": ""A superficial application of exception handling that overlooks important edge cases.""}, {""index"": 2, ""text"": ""An outdated approach to exception handling that ignores current best practices.""}, {""index"": 3, ""text"": ""Prioritizing clean code principles at the expense of properly addressing exception handling.""}]",0,exception handling
25,Software Engineer,Intern,mcq,Which of the following best describes algorithm complexity?,"[{""index"": 0, ""text"": ""A superficial application of algorithm complexity that overlooks important edge cases.""}, {""index"": 1, ""text"": ""Prioritizing build tools at the expense of properly addressing algorithm complexity.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind algorithm complexity.""}, {""index"": 3, ""text"": ""Applying the principles of code review practices in a situation that calls for algorithm complexity instead.""}]",2,algorithm complexity
26,Software Engineer,Intern,mcq,Which of the following would a senior Software Engineer flag as a risk when technical debt is handled incorrectly?,"[{""index"": 0, ""text"": ""A structured approach that directly satisfies the intent behind technical debt.""}, {""index"": 1, ""text"": ""Confusing technical debt with data structures, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Focusing on algorithm complexity while overlooking the actual requirements of technical debt.""}, {""index"": 3, ""text"": ""Applying the principles of API versioning in a situation that calls for technical debt instead.""}]",0,technical debt
27,Software Engineer,Intern,mcq,Which factor most influences the effectiveness of continuous integration in practice?,"[{""index"": 0, ""text"": ""Treating continuous integration as equivalent to build tools \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Addressing the core purpose of continuous integration while accounting for known edge cases.""}, {""index"": 2, ""text"": ""Prioritizing logging and monitoring at the expense of properly addressing continuous integration.""}, {""index"": 3, ""text"": ""A superficial application of continuous integration that overlooks important edge cases.""}]",1,continuous integration
28,Software Engineer,Intern,mcq,"When applying message queues, which of the following is a best practice?","[{""index"": 0, ""text"": ""Applying the principles of dependency injection in a situation that calls for message queues instead.""}, {""index"": 1, ""text"": ""An outdated approach to message queues that ignores current best practices.""}, {""index"": 2, ""text"": ""A superficial application of message queues that overlooks important edge cases.""}, {""index"": 3, ""text"": ""An accurate, practical description of how message queues functions in real Software Engineer work.""}]",3,message queues
29,Software Engineer,Intern,mcq,"In the context of Software Engineer work, what is the primary purpose of logging and monitoring?","[{""index"": 0, ""text"": ""Confusing logging and monitoring with load balancing, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""A structured approach that directly satisfies the intent behind logging and monitoring.""}, {""index"": 2, ""text"": ""A superficial application of logging and monitoring that overlooks important edge cases.""}, {""index"": 3, ""text"": ""An outdated approach to logging and monitoring that ignores current best practices.""}]",1,logging and monitoring
30,Software Engineer,Intern,mcq,What is the main benefit of using message queues in a Software Engineer context?,"[{""index"": 0, ""text"": ""Applying the principles of load balancing in a situation that calls for message queues instead.""}, {""index"": 1, ""text"": ""Addressing the core purpose of message queues while accounting for known edge cases.""}, {""index"": 2, ""text"": ""An outdated approach to message queues that ignores current best practices.""}, {""index"": 3, ""text"": ""Prioritizing memory management at the expense of properly addressing message queues.""}]",1,message queues
31,Software Engineer,Intern,mcq,"In the context of Software Engineer work, what is the primary purpose of build tools?","[{""index"": 0, ""text"": ""Focusing on refactoring while overlooking the actual requirements of build tools.""}, {""index"": 1, ""text"": ""Addressing the core purpose of build tools while accounting for known edge cases.""}, {""index"": 2, ""text"": ""Prioritizing object-oriented design at the expense of properly addressing build tools.""}, {""index"": 3, ""text"": ""Applying the principles of dependency injection in a situation that calls for build tools instead.""}]",1,build tools
32,Software Engineer,Intern,mcq,What distinguishes a correct implementation of SOLID principles from a flawed one?,"[{""index"": 0, ""text"": ""Prioritizing technical debt at the expense of properly addressing SOLID principles.""}, {""index"": 1, ""text"": ""Correctly applying SOLID principles according to established best practices for a Software Engineer.""}, {""index"": 2, ""text"": ""Applying the principles of caching strategies in a situation that calls for SOLID principles instead.""}, {""index"": 3, ""text"": ""Confusing SOLID principles with dependency injection, which actually serves a different purpose.""}]",1,SOLID principles
33,Software Engineer,Intern,mcq,Which factor most influences the effectiveness of dependency injection in practice?,"[{""index"": 0, ""text"": ""Correctly applying dependency injection according to established best practices for a Software Engineer.""}, {""index"": 1, ""text"": ""Focusing on concurrency while overlooking the actual requirements of dependency injection.""}, {""index"": 2, ""text"": ""Treating dependency injection as equivalent to algorithm complexity \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""Applying the principles of software architecture in a situation that calls for dependency injection instead.""}]",0,dependency injection
34,Software Engineer,Intern,mcq,What distinguishes a correct implementation of software architecture from a flawed one?,"[{""index"": 0, ""text"": ""Confusing software architecture with test-driven development, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""An outdated approach to software architecture that ignores current best practices.""}, {""index"": 2, ""text"": ""Applying the principles of algorithm complexity in a situation that calls for software architecture instead.""}, {""index"": 3, ""text"": ""A structured approach that directly satisfies the intent behind software architecture.""}]",3,software architecture
35,Software Engineer,Intern,mcq,"In the context of Software Engineer work, what is the primary purpose of message queues?","[{""index"": 0, ""text"": ""Treating message queues as equivalent to design patterns \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Confusing message queues with microservices vs monoliths, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Correctly applying message queues according to established best practices for a Software Engineer.""}, {""index"": 3, ""text"": ""Prioritizing load balancing at the expense of properly addressing message queues.""}]",2,message queues
36,Software Engineer,Intern,mcq,"When applying caching strategies, which of the following is a best practice?","[{""index"": 0, ""text"": ""An accurate, practical description of how caching strategies functions in real Software Engineer work.""}, {""index"": 1, ""text"": ""Confusing caching strategies with version control workflows, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""An outdated approach to caching strategies that ignores current best practices.""}, {""index"": 3, ""text"": ""Treating caching strategies as equivalent to API versioning \u2014 a common but incorrect assumption.""}]",0,caching strategies
37,Software Engineer,Intern,mcq,A Software Engineer needs to make a decision involving code documentation. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""A superficial application of code documentation that overlooks important edge cases.""}, {""index"": 1, ""text"": ""Treating code documentation as equivalent to database indexing \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""Addressing the core purpose of code documentation while accounting for known edge cases.""}, {""index"": 3, ""text"": ""Confusing code documentation with technical debt, which actually serves a different purpose.""}]",2,code documentation
38,Software Engineer,Intern,mcq,Which statement about SOLID principles is most accurate?,"[{""index"": 0, ""text"": ""Applying the principles of technical debt in a situation that calls for SOLID principles instead.""}, {""index"": 1, ""text"": ""Treating SOLID principles as equivalent to dependency injection \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""A superficial application of SOLID principles that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Addressing the core purpose of SOLID principles while accounting for known edge cases.""}]",3,SOLID principles
39,Software Engineer,Intern,mcq,"In the context of Software Engineer work, what is the primary purpose of data structures?","[{""index"": 0, ""text"": ""Prioritizing database indexing at the expense of properly addressing data structures.""}, {""index"": 1, ""text"": ""An outdated approach to data structures that ignores current best practices.""}, {""index"": 2, ""text"": ""A superficial application of data structures that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Correctly applying data structures according to established best practices for a Software Engineer.""}]",3,data structures
40,Software Engineer,Intern,mcq,Which statement about technical debt is most accurate?,"[{""index"": 0, ""text"": ""An outdated approach to technical debt that ignores current best practices.""}, {""index"": 1, ""text"": ""Focusing on exception handling while overlooking the actual requirements of technical debt.""}, {""index"": 2, ""text"": ""Addressing the core purpose of technical debt while accounting for known edge cases.""}, {""index"": 3, ""text"": ""Confusing technical debt with dependency injection, which actually serves a different purpose.""}]",2,technical debt
41,Software Engineer,Intern,mcq,Which option correctly explains a common pitfall related to API versioning?,"[{""index"": 0, ""text"": ""Applying the principles of dependency injection in a situation that calls for API versioning instead.""}, {""index"": 1, ""text"": ""A superficial application of API versioning that overlooks important edge cases.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind API versioning.""}, {""index"": 3, ""text"": ""Treating API versioning as equivalent to debugging strategies \u2014 a common but incorrect assumption.""}]",2,API versioning
42,Software Engineer,Intern,mcq,Which of the following would a senior Software Engineer flag as a risk when dependency injection is handled incorrectly?,"[{""index"": 0, ""text"": ""A superficial application of dependency injection that overlooks important edge cases.""}, {""index"": 1, ""text"": ""Focusing on test-driven development while overlooking the actual requirements of dependency injection.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind dependency injection.""}, {""index"": 3, ""text"": ""An outdated approach to dependency injection that ignores current best practices.""}]",2,dependency injection
43,Software Engineer,Intern,mcq,What distinguishes a correct implementation of unit testing from a flawed one?,"[{""index"": 0, ""text"": ""Applying the principles of refactoring in a situation that calls for unit testing instead.""}, {""index"": 1, ""text"": ""Addressing the core purpose of unit testing while accounting for known edge cases.""}, {""index"": 2, ""text"": ""Prioritizing build tools at the expense of properly addressing unit testing.""}, {""index"": 3, ""text"": ""An outdated approach to unit testing that ignores current best practices.""}]",1,unit testing
44,Software Engineer,Intern,mcq,Which factor most influences the effectiveness of API versioning in practice?,"[{""index"": 0, ""text"": ""A structured approach that directly satisfies the intent behind API versioning.""}, {""index"": 1, ""text"": ""Focusing on code review practices while overlooking the actual requirements of API versioning.""}, {""index"": 2, ""text"": ""Applying the principles of static code analysis in a situation that calls for API versioning instead.""}, {""index"": 3, ""text"": ""Treating API versioning as equivalent to concurrency \u2014 a common but incorrect assumption.""}]",0,API versioning
45,Software Engineer,Intern,mcq,Which option correctly explains a common pitfall related to technical debt?,"[{""index"": 0, ""text"": ""Confusing technical debt with object-oriented design, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Addressing the core purpose of technical debt while accounting for known edge cases.""}, {""index"": 2, ""text"": ""Treating technical debt as equivalent to exception handling \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""Prioritizing continuous integration at the expense of properly addressing technical debt.""}]",1,technical debt
46,Software Engineer,Intern,descriptive,"What best practices would you apply when dealing with exception handling, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,exception handling
47,Software Engineer,Intern,descriptive,Describe how you would explain code review practices to a non-technical stakeholder.,,,code review practices
48,Software Engineer,Intern,descriptive,"How would you prioritize logging and monitoring against competing deadlines, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,logging and monitoring
49,Software Engineer,Intern,descriptive,"Compare the tradeoffs involved in technical debt at a foundational, learning-focused level suited for an intern who is building core understanding.",,,technical debt
50,Software Engineer,Intern,descriptive,What tools or techniques support effective work with logging and monitoring?,,,logging and monitoring
51,Software Engineer,Intern,descriptive,"What does 'good' look like when design patterns is done well, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,design patterns
52,Software Engineer,Intern,descriptive,What metrics or signals would you use to evaluate REST API design?,,,REST API design
53,Software Engineer,Intern,descriptive,How would your approach to memory management differ across team sizes or project scales?,,,memory management
54,Software Engineer,Intern,descriptive,"Walk through a real scenario where data structures would be critical, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,data structures
55,Software Engineer,Intern,descriptive,What tradeoffs exist between speed and quality when handling clean code principles?,,,clean code principles
56,Software Engineer,Intern,descriptive,"Describe a time logging and monitoring could go wrong and how you'd prevent it, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,logging and monitoring
57,Software Engineer,Intern,descriptive,"Describe how you would approach API versioning at a foundational, learning-focused level suited for an intern who is building core understanding.",,,API versioning
58,Software Engineer,Intern,descriptive,"How would you prioritize design patterns against competing deadlines, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,design patterns
59,Software Engineer,Intern,descriptive,"What best practices would you apply when dealing with object-oriented design, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,object-oriented design
60,Software Engineer,Intern,descriptive,"Describe a time REST API design could go wrong and how you'd prevent it, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,REST API design
61,Software Engineer,Intern,descriptive,"What best practices would you apply when dealing with memory management, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,memory management
62,Software Engineer,Intern,descriptive,How would your approach to algorithm complexity differ across team sizes or project scales?,,,algorithm complexity
63,Software Engineer,Intern,descriptive,"What questions would you ask before starting work involving design patterns, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,design patterns
64,Software Engineer,Intern,descriptive,"Describe how you would approach continuous integration at a foundational, learning-focused level suited for an intern who is building core understanding.",,,continuous integration
65,Software Engineer,Intern,descriptive,"Explain a mistake to avoid when working with algorithm complexity, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,algorithm complexity
66,Software Engineer,Intern,descriptive,"Describe how you would approach code documentation at a foundational, learning-focused level suited for an intern who is building core understanding.",,,code documentation
67,Software Engineer,Intern,descriptive,"Compare the tradeoffs involved in continuous integration at a foundational, learning-focused level suited for an intern who is building core understanding.",,,continuous integration
68,Software Engineer,Intern,descriptive,"How would you prioritize code review practices against competing deadlines, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,code review practices
69,Software Engineer,Intern,descriptive,"What best practices would you apply when dealing with code documentation, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,code documentation
70,Software Engineer,Intern,descriptive,"What does 'good' look like when test-driven development is done well, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,test-driven development
71,Software Engineer,Intern,descriptive,How would you justify a decision about debugging strategies to a skeptical stakeholder?,,,debugging strategies
72,Software Engineer,Intern,descriptive,How would your approach to test-driven development differ across team sizes or project scales?,,,test-driven development
73,Software Engineer,Intern,descriptive,"Explain a mistake to avoid when working with code documentation, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,code documentation
74,Software Engineer,Intern,descriptive,How would you justify a decision about clean code principles to a skeptical stakeholder?,,,clean code principles
75,Software Engineer,Intern,descriptive,How would your approach to code review practices differ across team sizes or project scales?,,,code review practices
76,Software Engineer,Intern,descriptive,"How would you troubleshoot an issue related to design patterns, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,design patterns
77,Software Engineer,Intern,descriptive,What tradeoffs exist between speed and quality when handling message queues?,,,message queues
78,Software Engineer,Intern,descriptive,"Explain the concept of build tools and why it matters at a foundational, learning-focused level suited for an intern who is building core understanding.",,,build tools
79,Software Engineer,Intern,descriptive,What tools or techniques support effective work with code documentation?,,,code documentation
80,Software Engineer,Intern,descriptive,"Walk through a real scenario where code review practices would be critical, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,code review practices
81,Software Engineer,Intern,descriptive,"What are the key considerations when working with technical debt, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,technical debt
82,Software Engineer,Intern,descriptive,Describe how you would explain object-oriented design to a non-technical stakeholder.,,,object-oriented design
83,Software Engineer,Intern,descriptive,"How would you troubleshoot an issue related to code documentation, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,code documentation
84,Software Engineer,Intern,descriptive,"How would you prioritize REST API design against competing deadlines, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,REST API design
85,Software Engineer,Intern,descriptive,"How would you troubleshoot an issue related to load balancing, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,load balancing
86,Software Engineer,Intern,descriptive,"What best practices would you apply when dealing with software architecture, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,software architecture
87,Software Engineer,Intern,descriptive,"How does caching strategies impact overall system/product quality, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,caching strategies
88,Software Engineer,Intern,descriptive,"Explain the concept of memory management and why it matters at a foundational, learning-focused level suited for an intern who is building core understanding.",,,memory management
89,Software Engineer,Intern,descriptive,"Explain a mistake to avoid when working with code review practices, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,code review practices
90,Software Engineer,Intern,descriptive,"How does logging and monitoring impact overall system/product quality, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,logging and monitoring
91,Software Engineer,Intern,descriptive,"How would you troubleshoot an issue related to API versioning, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,API versioning
92,Software Engineer,Intern,descriptive,"How would you prioritize data structures against competing deadlines, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,data structures
93,Software Engineer,Intern,descriptive,What tools or techniques support effective work with object-oriented design?,,,object-oriented design
94,Software Engineer,Intern,descriptive,"Describe how you would approach design patterns at a foundational, learning-focused level suited for an intern who is building core understanding.",,,design patterns
95,Software Engineer,Intern,descriptive,How would you justify a decision about logging and monitoring to a skeptical stakeholder?,,,logging and monitoring
96,Software Engineer,Intern,descriptive,How would your approach to logging and monitoring differ across team sizes or project scales?,,,logging and monitoring
97,Software Engineer,Intern,descriptive,"How would you troubleshoot an issue related to REST API design, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,REST API design
98,Software Engineer,Intern,descriptive,"Describe a time concurrency could go wrong and how you'd prevent it, at a foundational, learning-focused level suited for an intern who is building core understanding.",,,concurrency
99,Software Engineer,Intern,descriptive,"What are the key considerations when working with logging and monitoring, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,logging and monitoring
100,Software Engineer,Intern,descriptive,"How would you prioritize debugging strategies against competing deadlines, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,debugging strategies
101,Software Engineer,Intern,descriptive,"How would you troubleshoot an issue related to data structures, at a foundational, learning-focused level suited for an intern who is building core understanding?",,,data structures
