Job ID,Job Title,Job Role,Job Level,Domain,Tech Stack,Skills,Required Skills,Experience (Years),Education,Certifications,Certifications Count,Projects Count,Salary (USD/Year),Employment Type,Work Mode,Company Name,Company Size,City,Country,Date Posted,Job Description
JOB00011,Software Engineer – Go/gRPC,Software Engineer,Mid-Level,E-commerce,Go/gRPC,Spring Boot | Elasticsearch | CQRS | Rate Limiting | C# | Go | MongoDB,System Design | REST APIs | Git | Data Structures & Algorithms | Docker,3,Bootcamp + Self-Taught,None,0,5,105000,Full-Time,Remote,GitLab,Mid-size (201–1000),Bangalore,India,2024-09-11,"Join GitLab's E-commerce division as a Software Engineer – Go/gRPC. You'll build and maintain high-performance distributed services leveraging Spring Boot, Elasticsearch, and CQRS across a high-scale, distributed environment. Required: 3 years' experience, Bootcamp + Self-Taught. Full-Time, Remote."
JOB00012,Distributed Systems Engineer – Rust/Actix,Backend Developer,Mid-Level,Manufacturing,Rust/Actix,Temporal | Django | API Versioning | Domain-Driven Design | gRPC | Event Sourcing | Go | Express.js,Python/Go/Java | PostgreSQL | REST APIs | Microservices | Docker,4,B.Sc. Mathematics,OpenJS Node.js Application Developer | AWS Certified Developer – Associate | Google Professional Cloud Developer | Microsoft Azure Developer (AZ-204),4,25,118000,Contract,On-Site,Airbnb,Large (1001–5000),Nairobi,Kenya,2024-09-16,"Shape the future of Manufacturing at Airbnb. As a Distributed Systems Engineer – Rust/Actix you will ensure observability, reliability, and security across services with hands-on mastery of Temporal and Django. We value deep knowledge of API Versioning and a pragmatic, ownership-driven mindset. 4 years' experience required. B.Sc. Mathematics preferred. Contract | On-Site."
JOB00013,"Senior Data Scientist, Aerospace Analytics",Data Scientist,Senior,Aerospace,Python/Spark,Snowflake | NumPy | Seaborn | Pandas | R | Matplotlib | Python | Spark,Python | SQL | Machine Learning | Statistics | Feature Engineering,6,B.Sc. Software Engineering,dbt Analytics Engineer Certification | SAS Certified Data Scientist | Snowflake SnowPro Core,3,6,186500,Full-Time,Hybrid,Google,Enterprise (5000+),Singapore,Singapore,2024-11-02,"At Google (Enterprise (5000+)), our Aerospace team is growing fast. We need a Senior Data Scientist, Aerospace Analytics who thrives with Snowflake, NumPy, and Seaborn. You'll deliver robust ML and analytics pipelines in a collaborative, fast-paced environment. 6+ years exp · B.Sc. Software Engineering · Full-Time · Hybrid."
JOB00014,Sr. Production ML Engineer – Triton/ONNX,Machine Learning Engineer,Senior,Travel & Hospitality,Triton/ONNX,TorchServe | Vertex AI | FastAPI | Vector DBs | ONNX | Keras | LoRA / PEFT | Kubernetes,Python | PyTorch/TensorFlow | MLOps | Model Deployment | Feature Engineering,8,B.Eng. Electronics & Communication,None,0,26,212000,Contract,Remote,Databricks,Large (1001–5000),Berlin,Germany,2024-04-02,"Databricks (Large (1001–5000)) is hiring a Sr. Production ML Engineer – Triton/ONNX to join our Travel & Hospitality engineering team. You will implement feature engineering, data validation, and drift detection using TorchServe, Vertex AI, and FastAPI. We expect 8+ years of experience and a degree in B.Eng. Electronics & Communication. Contract · Remote."
JOB00015,Lead Penetration Tester / Red Team,Cybersecurity Analyst,Lead,Supply Chain,Kali Linux/Burp,Incident Response | IBM QRadar | Kali Linux | ISO 27001 | Burp Suite | Penetration Testing,SIEM | Penetration Testing | Incident Response | Python | MITRE ATT&CK,11,B.Eng. Electronics & Communication,AWS Security Specialty,1,15,230500,Full-Time,On-Site,TCS,Enterprise (5000+),Warsaw,Poland,2024-01-30,"Join TCS's Supply Chain division as a Lead Penetration Tester / Red Team. You'll monitor, detect, and respond to security incidents 24/7 leveraging Incident Response, IBM QRadar, and Kali Linux across a high-scale, distributed environment. Required: 11 years' experience, B.Eng. Electronics & Communication. Full-Time, On-Site."
JOB00016,Sr. Site Reliability Engineer – CI/CD/GitHub Actions,DevOps Engineer,Senior,Entertainment,CI/CD/GitHub Actions,Python | GCP | AWS | Prometheus | Terraform | PagerDuty | Go | New Relic | Linux,Docker | Kubernetes | Terraform | CI/CD | Linux,6,M.Sc. Artificial Intelligence,AWS Certified DevOps Engineer – Professional,1,3,179000,Contract,Hybrid,Uber,Large (1001–5000),Zurich,Switzerland,2025-02-07,"Uber is scaling its Entertainment infrastructure and needs a talented Sr. Site Reliability Engineer – CI/CD/GitHub Actions. Core stack: Python, GCP, AWS. You'll monitor and improve system availability, partner cross-functionally, and set technical standards. 6+ yrs exp. M.Sc. Artificial Intelligence. Contract · Hybrid · Large (1001–5000)."
JOB00017,Principal Applied Data Scientist (Bayesian/Python),Data Scientist,Lead,Aerospace,Bayesian/Python,MLflow | Hypothesis Testing | Scikit-learn | Spark | Apache Flink | Seaborn | Power BI | Feature Engineering | LightGBM,Python | SQL | Machine Learning | Statistics | Feature Engineering,11,B.Sc. Physics (CS minor),dbt Analytics Engineer Certification | Microsoft Azure Data Scientist (DP-100) | Snowflake SnowPro Core,3,7,257500,Contract,Hybrid,Atlassian,Large (1001–5000),Paris,France,2025-04-08,"We're looking for a Principal Applied Data Scientist (Bayesian/Python) at Atlassian to power our Aerospace platform. Day-to-day, you'll communicate insights to executive stakeholders with deep expertise in MLflow and Hypothesis Testing. You bring 11+ years, strong Scikit-learn skills, and a B.Sc. Physics (CS minor) (or equivalent). Contract | Hybrid | Large (1001–5000)."
JOB00018,"Senior Engineer, Core Infrastructure (Full-Stack (React+Node))",Software Engineer,Senior,Real Estate,Full-Stack (React+Node),Elasticsearch | RabbitMQ | MongoDB | TypeScript | DDD | Docker | Kafka | Python | Go,System Design | REST APIs | Git | Data Structures & Algorithms | Docker,6,Ph.D. Computer Science,OpenJS Node.js Application Developer | AWS Certified Developer – Associate | Oracle Java SE Certified,3,24,169000,Full-Time,Remote,Palantir,Large (1001–5000),Boston,USA,2025-04-02,"Palantir (Large (1001–5000)) is hiring a Senior Engineer, Core Infrastructure (Full-Stack (React+Node)) to join our Real Estate engineering team. You will lead engineering for core product modules using Elasticsearch, RabbitMQ, and MongoDB. We expect 6+ years of experience and a degree in Ph.D. Computer Science. Full-Time · Remote."
JOB00019,Staff GCP Cloud Architect – GCP/Terraform,Cloud Solutions Architect,Principal / Staff,Gaming,GCP/Terraform,API Gateway | VPC | Redshift | AWS Control Tower | Databricks | Kubernetes | Data Lakes | ARM Templates | BGP,AWS/Azure/GCP | Terraform | Cloud Security | Architecture Design | Networking,15,B.Sc. Physics (CS minor),Google Cloud Networking Professional | HashiCorp Terraform Associate,2,26,353000,Full-Time,Remote,Delivery Hero,Large (1001–5000),Seoul,South Korea,2024-12-14,"At Delivery Hero (Large (1001–5000)), our Gaming team is growing fast. We need a Staff GCP Cloud Architect – GCP/Terraform who thrives with API Gateway, VPC, and Redshift. You'll drive cloud-native modernisation initiatives in a collaborative, fast-paced environment. 15+ years exp · B.Sc. Physics (CS minor) · Full-Time · Remote."
JOB00020,Junior LLM / GenAI Engineer – GenAI/HuggingFace,Machine Learning Engineer,Junior,HR Tech,GenAI/HuggingFace,Python | ONNX | TensorFlow | Model Quantization | Git | Vertex AI | Keras | Airflow | RLHF,Python | PyTorch/TensorFlow | MLOps | Model Deployment | Feature Engineering,2,B.Sc. Information Technology,None,0,15,85500,Freelance,Remote,Shopify,Large (1001–5000),Warsaw,Poland,2024-06-20,"Shape the future of HR Tech at Shopify. As a Junior LLM / GenAI Engineer – GenAI/HuggingFace you will implement feature engineering, data validation, and drift detection with hands-on mastery of Python and ONNX. We value deep knowledge of TensorFlow and a pragmatic, ownership-driven mindset. 2 years' experience required. B.Sc. Information Technology preferred. Freelance | Remote."
JOB00021,Sr. Application Security Engineer – Palo Alto/Fortinet,Cybersecurity Analyst,Senior,Supply Chain,Palo Alto/Fortinet,NIST CSF | AWS Security | ISO 27001 | Kali Linux | Incident Response | Nmap | OWASP | Azure Defender | Forensics | IDS/IPS,SIEM | Penetration Testing | Incident Response | Python | MITRE ATT&CK,7,M.Sc. Information Systems,CEH (Certified Ethical Hacker),1,24,165500,Contract,On-Site,Apple,Enterprise (5000+),Dubai,UAE,2025-01-24,"At Apple (Enterprise (5000+)), our Supply Chain team is growing fast. We need a Sr. Application Security Engineer – Palo Alto/Fortinet who thrives with NIST CSF, AWS Security, and ISO 27001. You'll protect critical systems and data in a collaborative, fast-paced environment. 7+ years exp · M.Sc. Information Systems · Contract · On-Site."
JOB00022,Sr. Cloud DBA – MySQL/RDS,Database Administrator,Senior,LegalTech,MySQL/RDS,SQL Server | DynamoDB | PITR | PostgreSQL | YugabyteDB | Percona,PostgreSQL/Oracle | Query Optimization | Backup & Recovery | High Availability | SQL,9,Bootcamp + Self-Taught,None,0,15,156500,Full-Time,Remote,ServiceNow,Enterprise (5000+),Melbourne,Australia,2024-01-26,"Shape the future of LegalTech at ServiceNow. As a Sr. Cloud DBA – MySQL/RDS you will manage database security, access control, and schema migrations with hands-on mastery of SQL Server and DynamoDB. We value deep knowledge of PITR and a pragmatic, ownership-driven mindset. 9 years' experience required. Bootcamp + Self-Taught preferred. Full-Time | Remote."
JOB00023,Staff Frontend Engineer – React/TypeScript,Frontend Developer,Lead,Real Estate,React/TypeScript,Design Systems | React | Jest | JavaScript (ES2024) | Redux Toolkit | CSS3,React | TypeScript | HTML/CSS | Web Performance | Accessibility,12,Associate Degree in Computer Science,Vue.js Certified Developer | WCAG Accessibility Specialist | Google Lighthouse Performance Certification,3,26,223500,Full-Time,Hybrid,Twilio,Mid-size (201–1000),Mumbai,India,2024-05-18,"Shape the future of Real Estate at Twilio. As a Staff Frontend Engineer – React/TypeScript you will champion frontend architecture, testing, and code review with hands-on mastery of Design Systems and React. We value deep knowledge of Jest and a pragmatic, ownership-driven mindset. 12 years' experience required. Associate Degree in Computer Science preferred. Full-Time | Hybrid."
JOB00024,Staff Software Engineer – Kotlin/JVM,Software Engineer,Mid-Level,LegalTech,Kotlin/JVM,Event Sourcing | Microservices | FastAPI | Unit Testing | REST APIs | Java | Elasticsearch | TypeScript | WebSockets | Kubernetes,System Design | REST APIs | Git | Data Structures & Algorithms | Docker,3,Bootcamp + Self-Taught,Oracle Java SE Certified | Microsoft Azure Developer (AZ-204) | OpenJS Node.js Application Developer | Spring Professional Certification | Linux Foundation LFCS,5,9,105500,Full-Time,Hybrid,GitLab,Mid-size (201–1000),Stockholm,Sweden,2025-05-04,"Shape the future of LegalTech at GitLab. As a Staff Software Engineer – Kotlin/JVM you will design and ship full-stack features end-to-end with hands-on mastery of Event Sourcing and Microservices. We value deep knowledge of FastAPI and a pragmatic, ownership-driven mindset. 3 years' experience required. Bootcamp + Self-Taught preferred. Full-Time | Hybrid."
JOB00025,Cloud DevOps Engineer – AWS/Ansible,DevOps Engineer,Mid-Level,Media & Advertising,AWS/Ansible,Helm | Docker | Bash | ArgoCD | eBPF | GitHub Actions | Flux CD | Terraform | Consul,Docker | Kubernetes | Terraform | CI/CD | Linux,3,MBA (IT / Analytics),HashiCorp Terraform Associate | CKA (Kubernetes Administrator) | Linux Foundation LFCS,3,12,121500,Freelance,Hybrid,Google,Enterprise (5000+),Dubai,UAE,2024-01-06,"At Google (Enterprise (5000+)), our Media & Advertising team is growing fast. We need a Cloud DevOps Engineer – AWS/Ansible who thrives with Helm, Docker, and Bash. You'll monitor and improve system availability in a collaborative, fast-paced environment. 3+ years exp · MBA (IT / Analytics) · Freelance · Hybrid."
JOB00026,Senior PostgreSQL DBA,Database Administrator,Senior,AgriTech,Oracle DB,Oracle DB | Partitioning | SQL Tuning | Data Security | TimescaleDB | Capacity Planning | PostgreSQL,PostgreSQL/Oracle | Query Optimization | Backup & Recovery | High Availability | SQL,7,M.Sc. Machine Learning,None,0,4,159000,Full-Time,On-Site,Supabase,Startup (1–50),Seoul,South Korea,2025-02-07,"Supabase (Startup (1–50)) is hiring a Senior PostgreSQL DBA to join our AgriTech engineering team. You will design, optimise, and maintain mission-critical production databases using Oracle DB, Partitioning, and SQL Tuning. We expect 7+ years of experience and a degree in M.Sc. Machine Learning. Full-Time · On-Site."
JOB00027,Lead Penetration Tester / Red Team,Cybersecurity Analyst,Lead,AgriTech,Palo Alto/Fortinet,Python | Tenable Nessus | IAM | Metasploit | OWASP | OSINT | ISO 27001 | SIEM | IBM QRadar,SIEM | Penetration Testing | Incident Response | Python | MITRE ATT&CK,12,M.Sc. Computer Science,CompTIA Security+,1,16,239500,Full-Time,On-Site,TCS,Enterprise (5000+),Singapore,Singapore,2025-01-08,"TCS (Enterprise (5000+)) is hiring a Lead Penetration Tester / Red Team to join our AgriTech engineering team. You will design and implement zero-trust and least-privilege controls using Python, Tenable Nessus, and IAM. We expect 12+ years of experience and a degree in M.Sc. Computer Science. Full-Time · On-Site."
JOB00028,Lead Incident Response Analyst – Palo Alto/Fortinet,Cybersecurity Analyst,Lead,Entertainment,Palo Alto/Fortinet,Bash | OWASP | NIST CSF | IBM QRadar | Metasploit | Threat Hunting,SIEM | Penetration Testing | Incident Response | Python | MITRE ATT&CK,13,MBA (IT / Analytics),AWS Security Specialty,1,32,230500,Contract,On-Site,Salesforce,Enterprise (5000+),Helsinki,Finland,2024-09-10,"Salesforce (Enterprise (5000+)) is hiring a Lead Incident Response Analyst – Palo Alto/Fortinet to join our Entertainment engineering team. You will design and implement zero-trust and least-privilege controls using Bash, OWASP, and NIST CSF. We expect 13+ years of experience and a degree in MBA (IT / Analytics). Contract · On-Site."
JOB00029,"Associate ML Engineer, Retail AI",Machine Learning Engineer,Junior,Retail,SageMaker/AWS,TensorFlow | Python | Kubeflow | Git | Vector DBs | Data Version Control (DVC) | Dask,Python | PyTorch/TensorFlow | MLOps | Model Deployment | Feature Engineering,1,M.Sc. Data Science,AWS Certified ML Specialist | NVIDIA Deep Learning Institute Certificate,2,1,76500,Full-Time,Hybrid,SAP,Enterprise (5000+),Manchester,UK,2024-08-05,"SAP is scaling its Retail infrastructure and needs a talented Associate ML Engineer, Retail AI. Core stack: TensorFlow, Python, Kubeflow. You'll productionise and monitor ML models, partner cross-functionally, and set technical standards. 1+ yrs exp. M.Sc. Data Science. Full-Time · Hybrid · Enterprise (5000+)."
JOB00030,Mid-Level Multi-Cloud Architect (Azure/ARM),Cloud Solutions Architect,Mid-Level,HR Tech,Azure/ARM,Azure | Multi-Cloud | CloudFront | Pulumi | Cloud Security | Redshift | Pulumi,AWS/Azure/GCP | Terraform | Cloud Security | Architecture Design | Networking,4,M.Sc. Artificial Intelligence,CKA | FinOps Certified Practitioner | Azure Solutions Architect Expert (AZ-305),3,7,133500,Full-Time,On-Site,ServiceNow,Enterprise (5000+),Tokyo,Japan,2024-03-19,"Join ServiceNow's HR Tech division as a Mid-Level Multi-Cloud Architect (Azure/ARM). You'll provide architecture guidance and review for engineering squads leveraging Azure, Multi-Cloud, and CloudFront across a high-scale, distributed environment. Required: 4 years' experience, M.Sc. Artificial Intelligence. Full-Time, On-Site."
JOB00031,Senior Machine Learning Engineer – Triton/ONNX,Machine Learning Engineer,Senior,Real Estate,Triton/ONNX,ONNX | Data Version Control (DVC) | Kubeflow | Ray | GCP | Feast | Vertex AI | SQL,Python | PyTorch/TensorFlow | MLOps | Model Deployment | Feature Engineering,7,B.Sc. Information Technology,Deep Learning Specialization (Coursera),1,21,203500,Full-Time,On-Site,Snowflake,Large (1001–5000),Tel Aviv,Israel,2024-02-29,"At Snowflake (Large (1001–5000)), our Real Estate team is growing fast. We need a Senior Machine Learning Engineer – Triton/ONNX who thrives with ONNX, Data Version Control (DVC), and Kubeflow. You'll ensure model reliability and continuous improvement in a collaborative, fast-paced environment. 7+ years exp · B.Sc. Information Technology · Full-Time · On-Site."
JOB00032,"Lead Engineer, Core Infrastructure (Node.js/PostgreSQL)",Software Engineer,Lead,Retail,Node.js/PostgreSQL,Java | Elasticsearch | Rate Limiting | Node.js | MongoDB | GCP | TypeScript,System Design | REST APIs | Git | Data Structures & Algorithms | Docker,13,B.Sc. Physics (CS minor),AWS Certified Developer – Associate | OpenJS Node.js Application Developer | CKA,3,13,249000,Contract,On-Site,Workday,Enterprise (5000+),Singapore,Singapore,2024-01-11,"At Workday (Enterprise (5000+)), our Retail team is growing fast. We need a Lead Engineer, Core Infrastructure (Node.js/PostgreSQL) who thrives with Java, Elasticsearch, and Rate Limiting. You'll evolve the system architecture in a collaborative, fast-paced environment. 13+ years exp · B.Sc. Physics (CS minor) · Contract · On-Site."
JOB00033,Lead iOS Developer – Flutter/Dart,Mobile App Developer,Lead,AgriTech,Flutter/Dart,CoreML | Bluetooth / BLE | Firebase | Kotlin | Room DB | Swift,Swift/Kotlin or Flutter | REST APIs | MVVM/Clean Architecture | Unit Testing | CI/CD,13,Ph.D. Artificial Intelligence,React Native Certification (Udemy/Meta) | Google UX Design Certificate,2,20,235500,Freelance,On-Site,Atlassian,Large (1001–5000),Cape Town,South Africa,2024-08-22,"We're looking for a Lead iOS Developer – Flutter/Dart at Atlassian to power our AgriTech platform. Day-to-day, you'll build and release polished mobile features with deep expertise in CoreML and Bluetooth / BLE. You bring 13+ years, strong Firebase skills, and a Ph.D. Artificial Intelligence (or equivalent). Freelance | On-Site | Large (1001–5000)."
JOB00034,Staff ML Engineer (CUDA/PyTorch),Machine Learning Engineer,Principal / Staff,CleanTech,CUDA/PyTorch,MLflow | Keras | FastAPI | LoRA / PEFT | Data Version Control (DVC) | Docker | PyTorch | Feast,Python | PyTorch/TensorFlow | MLOps | Model Deployment | Feature Engineering,15,Associate Degree in Computer Science,NVIDIA Deep Learning Institute Certificate | CKA | MLflow Certified Practitioner,3,19,376000,Full-Time,Hybrid,Twilio,Mid-size (201–1000),Mumbai,India,2025-02-28,"Twilio (Mid-size (201–1000)) is hiring a Staff ML Engineer (CUDA/PyTorch) to join our CleanTech engineering team. You will build end-to-end training and model-serving pipelines using MLflow, Keras, and FastAPI. We expect 15+ years of experience and a degree in Associate Degree in Computer Science. Full-Time · Hybrid."
JOB00035,"Distinguished Solutions Architect, Retail",Cloud Solutions Architect,Principal / Staff,Retail,GCP/BigQuery,Pulumi | Kubernetes | Networking | Service Mesh | Azure Landing Zone | SLO/SLA Design | CloudFormation | Multi-Cloud,AWS/Azure/GCP | Terraform | Cloud Security | Architecture Design | Networking,16,Associate Degree in Computer Science,None,0,16,375500,Full-Time,On-Site,CrowdStrike,Large (1001–5000),Vienna,Austria,2024-06-22,"CrowdStrike is scaling its Retail infrastructure and needs a talented Distinguished Solutions Architect, Retail. Core stack: Pulumi, Kubernetes, Networking. You'll design resilient, cost-efficient cloud systems, partner cross-functionally, and set technical standards. 16+ yrs exp. Associate Degree in Computer Science. Full-Time · On-Site · Large (1001–5000)."
JOB00036,Distinguished Threat Intelligence Analyst – Microsoft Sentinel,Cybersecurity Analyst,Principal / Staff,FinTech,Microsoft Sentinel,Carbon Black | MITRE ATT&CK | ISO 27001 | Tenable Nessus | Threat Hunting | PAM | Zero Trust | AWS Security | Forensics | Penetration Testing,SIEM | Penetration Testing | Incident Response | Python | MITRE ATT&CK,16,B.Sc. Statistics,Splunk Core Certified User | AWS Security Specialty | CompTIA CySA+,3,12,320000,Full-Time,Remote,Grab,Large (1001–5000),Bangalore,India,2024-09-05,"Join Grab's FinTech division as a Distinguished Threat Intelligence Analyst – Microsoft Sentinel. You'll monitor, detect, and respond to security incidents 24/7 leveraging Carbon Black, MITRE ATT&CK, and ISO 27001 across a high-scale, distributed environment. Required: 16 years' experience, B.Sc. Statistics. Full-Time, Remote."
JOB00037,Senior GCP Cloud Architect – Azure/ARM,Cloud Solutions Architect,Senior,Government,Azure/ARM,Azure | Data Lakes | Multi-Cloud | FinOps | Cloud Migration | VPC | Azure Landing Zone | API Gateway,AWS/Azure/GCP | Terraform | Cloud Security | Architecture Design | Networking,6,Ph.D. Computer Science,None,0,14,197500,Contract,On-Site,Snowflake,Large (1001–5000),Helsinki,Finland,2025-01-27,"At Snowflake (Large (1001–5000)), our Government team is growing fast. We need a Senior GCP Cloud Architect – Azure/ARM who thrives with Azure, Data Lakes, and Multi-Cloud. You'll drive cloud-native modernisation initiatives in a collaborative, fast-paced environment. 6+ years exp · Ph.D. Computer Science · Contract · On-Site."
